id;matricula_aluno;nome;area_de_conhecimento;curso
1;58533;Licenciado reboot Rand;HUMANAS;invoice
2;9840;hierarchy Regional action-items;EXATAS;Concreto SDD
3;43977;Rua Auto;EXATAS;Checking
4;55617;Turismo Gostoso;HUMANAS;Legacy Pernambuco contingency
5;68177;seize Bebê da;EXATAS;Chilean deposit
6;49663;Dinar Hong firewall;BIOLOGICAS;Marginal Ferramentas
7;49155;systems;EXATAS;Enhanced Buckinghamshire
8;84154;Market Berkshire benchmark;BIOLOGICAS;Forward Mercearia Leone
9;9761;Creative virtual;EXATAS;users
10;66922;interface synthesize copying;BIOLOGICAS;hacking
