id;matricula_prof;nome;disciplina;faculdade
1;77009;Maranhão;payment Rodovia Switchable;neural-net
2;95253;multi-byte;evolve;interactive Principal Camiseta
3;52496;visionary Lindo;payment;hierarchy
4;49518;Acre card;Configuration Macio;XML Crianças
5;89203;digital synthesize;reintermediate Account connect;Brinquedos
6;68823;Dinar District payment;Central;revolutionary Bedfordshire
7;33104;Chief Incrível quantifying;Ferramentas;recontextualize overriding Borders
8;88;Infrastructure Personal Eletrônicos;Madeira;Producer Dirham generate
9;58262;Credit;USB;Dynamic Assurance
10;35352;dot-com online;blockchains Granito Grosso;Market open-source port
